current,voltage,temperature,power,time
1.8168,4.1497,282.599,7.539233625,0.0
1.4334,4.15,282.55629999999996,5.948518713,1.0
1.3741,4.15,282.5608,5.702478003,2.0
1.3489,4.15,282.5965,5.597785512,3.0
1.3164,4.15,282.5727,5.463071562,4.0
1.2972,4.1499,282.5499,5.383399599,5.0
1.272,4.1499,282.5071,5.278663692,6.0
1.247,4.15,282.56669999999997,5.174982711,7.0
1.2465,4.1499,282.56969999999995,5.173007654,8.0
1.2138,4.15,282.50219999999996,5.037445998,9.0
1.1945,4.1499,282.5927,4.956828611,10.0
1.1688,4.15,282.5419,4.850332029,11.0
1.1647,4.1499,282.49159999999995,4.833433841,12.0
1.1642,4.1499,282.5728,4.831570614,13.0
1.1509,4.1499,282.55809999999997,4.776327937,14.0
1.1047,4.15,282.52549999999997,4.584676966,15.0
1.1167,4.1499,282.54949999999997,4.634191803,16.0
1.1038,4.1499,282.57439999999997,4.58085701,17.0
1.0926,4.15,282.5138,4.534183024,18.0
1.0845,4.15,282.4846,4.500478425,19.0
1.0615,4.1498,282.5206,4.404858123,20.0
1.05,4.1499,282.5059,4.357300366,21.0
1.0258,4.1499,282.5077,4.257181294,22.0
1.0218,4.1499,282.5694,4.240337038,23.0
1.0272,4.1499,282.48949999999996,4.26276732,24.0
1.0119,4.1499,282.5034,4.199203363,25.0
1.0029,4.1499,282.51989999999995,4.161779151,26.0
1.0042,4.15,282.4618,4.167482161,27.0
0.9736,4.15,282.5832,4.040197151,28.0
0.9774,4.1499,282.5838,4.056036808,29.0
0.9632,4.15,282.4914,3.99716048,30.0
0.9562,4.1499,282.5084,3.968137017,31.0
0.9621,4.1499,282.5265,3.992408899,32.0
0.9582,4.15,282.5336,3.976660168,33.0
0.9253,4.1499,282.52639999999997,3.839975725,34.0
0.9388,4.1499,282.4928,3.896090326,35.0
0.9479,4.15,282.51739999999995,3.933598637,36.0
0.9161,4.1499,282.55289999999997,3.801599065,37.0
0.9102,4.1499,282.5195,3.77731906,38.0
0.9195,4.1499,282.4924,3.81565409,39.0
0.8992,4.1499,282.54019999999997,3.731487881,40.0
0.9082,4.1499,282.5446,3.768864982,41.0
0.8958,4.1499,282.53749999999997,3.717450804,42.0
0.8748,4.1498,282.5566,3.630370284,43.0
0.8951,4.15,282.54249999999996,3.714672903,44.0
0.8793,4.15,282.56059999999997,3.649191393,45.0
0.8509,4.15,282.5978,3.531346231,46.0
0.8739,4.1499,282.5782,3.626695712,47.0
0.8401,4.1499,282.5942,3.48635823,48.0
0.8746,4.1499,282.568,3.62950195,49.0
0.8374,4.1499,282.5433,3.475138444,50.0
0.8552,4.15,282.5703,3.549098363,51.0
0.8246,4.1499,282.5481,3.421786838,52.0
0.8453,4.1499,282.6382,3.507884129,53.0
0.832,4.15,282.57419999999996,3.452752022,54.0
0.8151,4.15,282.67589999999996,3.382629656,55.0
0.811,4.1499,282.5999,3.365723641,56.0
0.795,4.15,282.6307,3.299348086,57.0
0.8198,4.1501,282.66549999999995,3.40231652,58.0
0.807,4.15,282.59479999999996,3.348911808,59.0
0.814,4.15,282.6133,3.377910783,60.0
0.7898,4.1499,282.60609999999997,3.277751843,61.0
0.7989,4.15,282.5046,3.315261316,62.0
0.793,4.1499,282.58389999999997,3.290832559,63.0
0.7628,4.1499,282.60589999999996,3.16550507,64.0
0.7689,4.15,282.5288,3.190810927,65.0
0.7662,4.15,282.517,3.179624716,66.0
0.7786,4.15,282.5696,3.231090061,67.0
0.7779,4.15,282.5386,3.228243689,68.0
0.7628,4.15,282.5021,3.165602549,69.0
0.7466,4.1498,282.5766,3.098115594,70.0
0.7628,4.1499,282.5324,3.165543989,71.0
0.7617,4.1499,282.4778,3.160856926,72.0
0.7517,4.15,282.46959999999996,3.119726524,73.0
0.745,4.15,282.5349,3.091672647,74.0
0.7405,4.15,282.45709999999997,3.072953911,75.0
0.736,4.15,282.4978,3.054249577,76.0
0.7272,4.15,282.43559999999997,3.01776248,77.0
0.7418,4.15,282.5116,3.078618702,78.0
0.7195,4.1499,282.43179999999995,2.985924982,79.0
0.7328,4.15,282.5435,3.041153206,80.0
0.7175,4.15,282.48159999999996,2.977561089,81.0
0.7247,4.15,282.4817,3.007491309,82.0
0.7231,4.1499,282.44059999999996,3.000854698,83.0
0.7044,4.15,282.4787,2.923300133,84.0
0.7091,4.15,282.4855,2.942944659,85.0
0.7191,4.15,282.42359999999996,2.984109192,86.0
0.7294,4.15,282.4138,3.027168182,87.0
0.7215,4.1499,282.4692,2.994339139,88.0
0.7042,4.1499,282.4881,2.92231929,89.0
0.7148,4.1499,282.41569999999996,2.966280791,90.0
0.7116,4.15,282.3716,2.953230051,91.0
0.7067,4.15,282.436,2.932650046,92.0
0.7046,4.1499,282.4713,2.924185918,93.0
0.6893,4.1498,282.4514,2.860509467,94.0
0.6902,4.15,282.4257,2.864370589,95.0
0.6643,4.1499,282.4335,2.756729187,96.0
0.6783,4.15,282.4398,2.814773857,97.0
0.6771,4.1499,282.4967,2.81007041,98.0
0.6954,4.1499,282.53909999999996,2.885832785,99.0
0.6632,4.1499,282.43809999999996,2.752022249,100.0
0.6674,4.1499,282.49269999999996,2.769791281,101.0
0.6828,4.15,282.5068,2.833531213,102.0
0.6645,4.15,282.48359999999997,2.757728438,103.0
0.6611,4.15,282.4792,2.743700818,104.0
0.6591,4.15,282.36789999999996,2.735252132,105.0
0.6553,4.15,282.55289999999997,2.719383279,106.0
0.6492,4.1499,282.5018,2.69406328,107.0
0.6645,4.15,282.47319999999996,2.757694781,108.0
0.6505,4.1499,282.49609999999996,2.699667628,109.0
0.6451,4.1499,282.41929999999996,2.677204748,110.0
0.6528,4.15,282.4593,2.709051378,111.0
0.6417,4.1499,282.4555,2.663169441,112.0
0.6426,4.15,282.44219999999996,2.666977024,113.0
0.6456,4.1499,282.44379999999995,2.679058853,114.0
0.6325,4.1499,282.4801,2.624853216,115.0
0.6465,4.1501,282.48389999999995,2.682958305,116.0
0.6469,4.15,282.43149999999997,2.68474214,117.0
0.6463,4.15,282.42969999999997,2.681927547,118.0
0.6359,4.1499,282.52759999999995,2.638864403,119.0
0.6237,4.15,282.3802,2.588406652,120.0
0.6336,4.1499,282.44509999999997,2.629534394,121.0
0.6494,4.1501,282.48339999999996,2.695094461,122.0
0.6339,4.15,282.4606,2.630477808,123.0
0.5985,4.1499,282.5179,2.483585795,124.0
0.6147,4.15,282.5069,2.550961124,125.0
0.6109,4.1499,282.5652,2.534995656,126.0
0.6345,4.15,282.52,2.633324863,127.0
0.6124,4.1499,282.4935,2.541594621,128.0
0.6122,4.15,282.46229999999997,2.540686564,129.0
0.6093,4.15,282.4844,2.528541638,130.0
0.6088,4.1499,282.5055,2.52661603,131.0
0.6003,4.1499,282.60889999999995,2.491084706,132.0
0.6194,4.15,282.5637,2.570652991,133.0
0.6118,4.1499,282.55159999999995,2.538796251,134.0
0.5944,4.1501,282.5763,2.466839165,135.0
0.5919,4.1499,282.54609999999997,2.456454259,136.0
0.6021,4.1501,282.5745,2.498637396,137.0
0.5861,4.1499,282.62519999999995,2.432148037,138.0
0.5858,4.15,282.5637,2.431257515,139.0
0.5928,4.15,282.5857,2.460222835,140.0
0.6059,4.15,282.57689999999997,2.514490314,141.0
0.596,4.15,282.5583,2.473368575,142.0
0.5933,4.1499,282.5865,2.462066964,143.0
0.582,4.1501,282.5931,2.415384718,144.0
0.5881,4.15,282.6552,2.440634888,145.0
0.6,4.1499,282.6491,2.490145201,146.0
0.566,4.15,282.68519999999995,2.348947914,147.0
0.5601,4.1499,282.69059999999996,2.32452546,148.0
0.5865,4.15,282.67179999999996,2.434063814,149.0
0.5899,4.15,282.6457,2.448084549,150.0
0.5752,4.15,282.66949999999997,2.38730583,151.0
0.5994,4.15,282.6957,2.487392685,152.0
0.578,4.15,282.6911,2.398512877,153.0
0.5937,4.15,282.69629999999995,2.463971958,154.0
0.5843,4.15,282.71009999999995,2.424701881,155.0
0.5552,4.1499,282.59929999999997,2.303995925,156.0
0.5507,4.1499,282.7249,2.285266168,157.0
0.5543,4.1499,282.6952,2.300243603,158.0
0.5649,4.1499,282.7344,2.344176827,159.0
0.5432,4.1499,282.78209999999996,2.254421054,160.0
0.5597,4.1499,282.73269999999997,2.322697984,161.0
0.5502,4.1499,282.7516,2.28336685,162.0
0.5505,4.1498,282.7523,2.284298917,163.0
0.5586,4.1499,282.65799999999996,2.318020749,164.0
0.5583,4.1499,282.7536,2.317070875,165.0
0.5739,4.15,282.7244,2.381645335,166.0
0.5455,4.1499,282.77939999999995,2.263744094,167.0
0.5462,4.15,282.6921,2.266595886,168.0
0.5532,4.15,282.7331,2.295608841,169.0
0.5583,4.1499,282.6955,2.317095902,170.0
0.5473,4.15,282.707,2.27129405,171.0
0.5347,4.1499,282.7313,2.21882963,172.0
0.5477,4.15,282.7154,2.273161685,173.0
0.5444,4.15,282.67339999999996,2.259133094,174.0
0.5381,4.15,282.8015,2.232909353,175.0
0.5601,4.1499,282.67879999999997,2.324564991,176.0
0.5335,4.1499,282.6746,2.214156029,177.0
0.5473,4.15,282.6508,2.271301096,178.0
0.536,4.15,282.6699,2.224511031,179.0
0.5563,4.15,282.68309999999997,2.308708986,180.0
0.5444,4.1498,282.7324,2.259028485,181.0
0.5354,4.1499,282.74469999999997,2.22166008,182.0
0.5525,4.15,282.67199999999997,2.292820202,183.0
0.5004,4.1499,282.7677,2.076677227,184.0
0.5358,4.15,282.7175,2.223596215,185.0
0.5311,4.15,282.731,2.203957875,186.0
0.5234,4.1501,282.7399,2.172169061,187.0
0.5333,4.1499,282.7342,2.213227412,188.0
0.5484,4.1499,282.6748,2.275915155,189.0
0.5221,4.15,282.7464,2.166502856,190.0
0.5142,4.15,282.6407,2.133765288,191.0
0.5164,4.15,282.6826,2.143146222,192.0
0.5275,4.15,282.72909999999996,2.188956802,193.0
0.5297,4.15,282.77869999999996,2.198321744,194.0
0.5121,4.1499,282.7287,2.12532643,195.0
0.5378,4.15,282.7473,2.23201514,196.0
0.5056,4.15,282.72769999999997,2.098217961,197.0
0.5311,4.15,282.7976,2.203923941,198.0
0.5033,4.15,282.70509999999996,2.088870102,199.0
0.5099,4.1499,282.68429999999995,2.115955884,200.0
0.5171,4.1499,282.81879999999995,2.145909631,201.0
0.5015,4.15,282.75149999999996,2.081376696,202.0
0.4964,4.1499,282.7034,2.05982306,203.0
0.5065,4.15,282.7367,2.101946704,204.0
0.52,4.15,282.7541,2.158100404,205.0
0.4905,4.1499,282.73229999999995,2.035517728,206.0
0.5099,4.1501,282.6801,2.116053623,207.0
0.5191,4.15,282.74289999999996,2.154345229,208.0
0.5045,4.15,282.75129999999996,2.093556784,209.0
0.509,4.15,282.7663,2.112272653,210.0
0.4975,4.15,282.7142,2.064554582,211.0
0.5069,4.15,282.7437,2.10381795,212.0
0.5045,4.15,282.7043,2.093560152,213.0
0.5018,4.1501,282.722,2.082373214,214.0
0.4961,4.1499,282.76189999999997,2.058906857,215.0
0.4871,4.15,282.7553,2.021504727,216.0
0.5076,4.15,282.60119999999995,2.106643574,217.0
0.4711,4.15,282.62949999999995,1.955090963,218.0
0.4995,4.15,282.7,2.072996102,219.0
0.4749,4.1499,282.72069999999997,1.970953954,220.0
0.4973,4.1501,282.74949999999995,2.063679655,221.0
0.5063,4.1501,282.7768,2.10106987,222.0
0.4855,4.1499,282.7335,2.01494105,223.0
0.484,4.15,282.70509999999996,2.008411627,224.0
0.4833,4.1499,282.7238,2.005592911,225.0
0.4756,4.15,282.7141,1.973790684,226.0
0.479,4.1499,282.6891,1.987819383,227.0
0.4864,4.15,282.7854,2.018717247,228.0
0.4887,4.15,282.6685,2.028071767,229.0
0.4734,4.1499,282.72619999999995,1.964418223,230.0
0.4799,4.15,282.70219999999995,1.991591927,231.0
0.4754,4.15,282.6855,1.972873667,232.0
0.4614,4.1499,282.625,1.914813404,233.0
0.4801,4.1501,282.7263,1.992564407,234.0
0.4693,4.1499,282.7693,1.947577193,235.0
0.4801,4.15,282.69539999999995,1.992509003,236.0
0.4767,4.15,282.67229999999995,1.978507731,237.0
0.4587,4.15,282.73949999999996,1.90365006,238.0
0.4986,4.1499,282.72589999999997,2.069193626,239.0
0.4425,4.1499,282.6816,1.836271698,240.0
0.4601,4.1499,282.65569999999997,1.909242134,241.0
0.4499,4.1498,282.7209,1.867098153,242.0
0.4801,4.1499,282.70689999999996,1.992465962,243.0
0.4677,4.15,282.7344,1.941062128,244.0
0.472,4.1499,282.66589999999997,1.958820712,245.0
0.4767,4.1501,282.67589999999996,1.978516824,246.0
