current,voltage,temperature,power,time
3.6374,4.1476,307.64239999999995,15.0864719763993,0.0
4.0103,4.1497,307.6368,16.6416967292553,1.0
3.8333,4.1499,307.61109999999996,15.9079231370933,2.0
3.7303,4.1499,307.644,15.4805743416291,3.0
3.6009,4.15,307.6828,14.9439556321577,4.0
3.5311,4.1499,307.5723,14.6535333628249,5.0
3.4168,4.1499,307.6715,14.1793132033199,6.0
3.3183,4.1499,307.6079,13.7705922593177,7.0
3.2824,4.1499,307.64799999999997,13.6217724336211,8.0
3.1905,4.1499,307.7084,13.2402595660096,9.0
3.124,4.15,307.6524,12.9643646531256,10.0
3.066,4.1499,307.6683,12.7236986795231,11.0
2.9968,4.15,307.63349999999997,12.436867929966,12.0
2.9418,4.15,307.71169999999995,12.2086928541612,13.0
2.874,4.15,307.7337,11.9270086141257,14.0
2.837,4.15,307.6035,11.7736848325626,15.0
2.8086,4.15,307.67379999999997,11.6557445141837,16.0
2.7153,4.15,307.7204,11.2685204248858,17.0
2.6578,4.15,307.7057,11.0298760777118,18.0
2.6454,4.15,307.74309999999997,10.9786134490266,19.0
2.6211,4.1499,307.6701,10.8773318935195,20.0
2.5873,4.15,307.70849999999996,10.7370975461499,21.0
2.5262,4.15,307.6884,10.4837363271434,22.0
2.4838,4.1499,307.7286,10.3075663118721,23.0
2.4818,4.1499,307.66749999999996,10.2991319928551,24.0
2.4137,4.15,307.69849999999997,10.0167848276362,25.0
2.4119,4.1499,307.67789999999997,10.0092247201155,26.0
2.3456,4.15,307.7088,9.73431027482093,27.0
2.3136,4.15,307.72659999999996,9.60154995965559,28.0
2.2915,4.1498,307.7231,9.50947885736082,29.0
2.2539,4.1499,307.6826,9.35343673659781,30.0
2.2345,4.1499,307.68379999999996,9.27288907177899,31.0
2.2235,4.15,307.628,9.22733805147368,32.0
2.198,4.15,307.67249999999996,9.1215749762041,33.0
2.1827,4.15,307.7039,9.05792284911695,34.0
2.1572,4.15,307.6952,8.95236871990153,35.0
2.1468,4.15,307.74089999999995,8.90918737087713,36.0
2.1098,4.1501,307.70369999999997,8.75600326639324,37.0
2.0975,4.1499,307.63169999999997,8.70425670866007,38.0
2.0458,4.1499,307.76239999999996,8.49009338467113,39.0
2.0569,4.15,307.68269999999995,8.53599616708368,40.0
2.0542,4.1499,307.7553,8.52454773237218,41.0
1.9956,4.1499,307.7537,8.28136204394059,42.0
2.0041,4.1501,307.68199999999996,8.31729318068562,43.0
1.9656,4.15,307.63129999999995,8.15711284830911,44.0
1.943,4.1499,307.6871,8.06343114347749,45.0
1.9453,4.1499,307.65139999999997,8.07281009163063,46.0
1.9266,4.15,307.7202,7.99536670297175,47.0
1.9232,4.1499,307.7387,7.98113779601243,48.0
1.9261,4.1499,307.6447,7.99335974117639,49.0
1.8865,4.1499,307.7104,7.82864978397265,50.0
1.8434,4.1498,307.7129,7.64986414400994,51.0
1.8635,4.1501,307.75759999999997,7.7335697659355,52.0
1.8263,4.15,307.62789999999995,7.5790057774941,53.0
1.8195,4.15,307.6833,7.55091868092978,54.0
1.8105,4.1499,307.74219999999997,7.5133853795594,55.0
1.7828,4.15,307.64619999999996,7.39856702466153,56.0
1.8055,4.15,307.66409999999996,7.49297868693475,57.0
1.7945,4.15,307.6418,7.44710746384555,58.0
1.785,4.1501,307.6839,7.40803661954692,59.0
1.7357,4.1499,307.7118,7.20283379408704,60.0
1.7321,4.1499,307.6943,7.18795532598961,61.0
1.7476,4.15,307.74649999999997,7.2525567612924,62.0
1.7066,4.15,307.6939,7.08233755066578,63.0
1.7028,4.15,307.6019,7.06639098332562,64.0
1.7046,4.1499,307.67379999999997,7.07381927180813,65.0
1.701,4.15,307.70799999999997,7.05896226154243,66.0
1.6786,4.1499,307.72589999999997,6.96617973572575,67.0
1.6665,4.1499,307.7242,6.91563441725521,68.0
1.6849,4.1499,307.67859999999996,6.99244702230089,69.0
1.6302,4.15,307.6747,6.765270194837,70.0
1.6387,4.15,307.6504,6.80075466951416,71.0
1.6683,4.1499,307.62739999999997,6.92319259055751,72.0
1.6207,4.15,307.647,6.72588733142902,73.0
1.6135,4.1499,307.65599999999995,6.69582845815989,74.0
1.6065,4.15,307.6425,6.66704579884572,75.0
1.5873,4.1499,307.66959999999995,6.58730829516293,76.0
1.5774,4.1501,307.6529,6.54642234252606,77.0
1.5607,4.1498,307.69899999999996,6.47678724453351,78.0
1.5569,4.1499,307.6379,6.4610849879881,79.0
1.5513,4.15,307.6613,6.43777820656334,80.0
1.5299,4.15,307.6228,6.34890089804298,81.0
1.531,4.1501,307.66569999999996,6.35375387494179,82.0
1.5301,4.1501,307.66929999999996,6.34996335586106,83.0
1.5319,4.15,307.6882,6.3574280721009,84.0
1.5139,4.1499,307.7347,6.28242541069824,85.0
1.5033,4.15,307.6842,6.23854621415785,86.0
1.5087,4.15,307.73269999999997,6.26101691174767,87.0
1.5281,4.1499,307.7201,6.34137799296013,88.0
1.4573,4.1499,307.6864,6.04763900081986,89.0
1.4701,4.1499,307.66179999999997,6.10094057519404,90.0
1.4731,4.15,307.7186,6.11322375537839,91.0
1.4679,4.15,307.7467,6.09164209927201,92.0
1.4422,4.1499,307.66749999999996,5.98484414883933,93.0
1.4178,4.1499,307.6629,5.88389118998293,94.0
1.4372,4.15,307.7145,5.96447682245292,95.0
1.4402,4.1501,307.6728,5.97674807501335,96.0
1.419,4.15,307.70399999999995,5.8886322530991,97.0
1.4232,4.15,307.6298,5.90652389507409,98.0
1.3969,4.15,307.6862,5.79695846209233,99.0
1.4316,4.1499,307.68399999999997,5.94098893519049,100.0
1.3833,4.15,307.70029999999997,5.74084893295151,101.0
1.3687,4.15,307.74379999999996,5.68009742412806,102.0
1.3912,4.1501,307.72159999999997,5.77381253540398,103.0
1.3928,4.1499,307.8012,5.78007524680652,104.0
1.3653,4.1499,307.7459,5.66593419671017,105.0
1.3509,4.15,307.68359999999996,5.60615361666351,106.0
1.3646,4.1499,307.70189999999997,5.66311926097842,107.0
1.3498,4.15,307.7138,5.60147608328521,108.0
1.3322,4.15,307.75309999999996,5.52849386373236,109.0
1.3277,4.15,307.7082,5.50985251759766,110.0
1.345,4.15,307.67109999999997,5.58181411581995,111.0
1.3389,4.15,307.74539999999996,5.55660871313171,112.0
1.3227,4.15,307.69259999999997,5.48921337816012,113.0
1.2862,4.15,307.7295,5.33770356388345,114.0
1.3031,4.15,307.66999999999996,5.40783807459138,115.0
1.3362,4.15,307.7063,5.54534914575288,116.0
1.2844,4.1499,307.6808,5.33006379701033,117.0
1.2731,4.15,307.73109999999997,5.28350445510978,118.0
1.2907,4.1498,307.72159999999997,5.3562140017296,119.0
1.2767,4.1499,307.72299999999996,5.29830803795005,120.0
1.2569,4.15,307.69579999999996,5.2160783758643,121.0
1.2749,4.1499,307.6939,5.2908495205503,122.0
1.2999,4.15,307.7199,5.3948164792277,123.0
1.2616,4.15,307.74159999999995,5.23571523529176,124.0
1.2607,4.15,307.6362,5.23201348633364,125.0
1.2747,4.1499,307.70369999999997,5.28984047722588,126.0
1.2643,4.1499,307.7256,5.24690777044327,127.0
1.2434,4.15,307.60029999999995,5.15992763913113,128.0
1.2355,4.15,307.6925,5.12721055080203,129.0
1.228,4.1501,307.6626,5.09647377966132,130.0
1.2032,4.15,307.6844,4.99344081181408,131.0
1.2041,4.1499,307.6739,4.99709786520026,132.0
1.2452,4.1499,307.55109999999996,5.16739514351798,133.0
1.2211,4.15,307.6584,5.06732577657601,134.0
1.1992,4.1499,307.56829999999997,4.97655691056258,135.0
