current,voltage,temperature,power,time
0.6059,4.15,270.0607,2.514509671,109.0
0.6055,4.1501,270.10819999999995,2.512689167,110.0
0.5946,4.1499,270.0125,2.467649083,111.0
0.6095,4.1499,270.0711,2.529426042,112.0
0.5998,4.15,270.0492,2.489267726,113.0
0.5798,4.15,270.01989999999995,2.405985435,114.0
0.5973,4.15,269.9869,2.478943039,115.0
0.6039,4.1499,270.0754,2.506036407,116.0
0.575,4.1499,269.99399999999997,2.386307793,117.0
0.5946,4.15,270.0377,2.467732729,118.0
0.5865,4.15,270.01,2.434030253,119.0
0.5892,4.1499,269.9786,2.445240614,120.0
0.5741,4.1499,269.9724,2.382551271,121.0
0.6016,4.15,269.9903,2.496705201,122.0
0.5829,4.1499,269.99559999999997,2.419036798,123.0
0.5863,4.1498,270.0021,2.433027342,124.0
0.6005,4.1499,269.97139999999996,2.492008466,125.0
0.5732,4.15,270.0035,2.378853562,126.0
0.5849,4.1499,270.02389999999997,2.427474421,127.0
0.5707,4.1499,270.0052,2.368541424,128.0
0.5768,4.15,269.98499999999996,2.393831704,129.0
0.5734,4.1499,270.01599999999996,2.379719343,130.0
0.5746,4.15,269.98569999999995,2.384473513,131.0
0.5755,4.1499,270.0696,2.388141741,132.0
0.571,4.15,270.0152,2.369491625,133.0
0.5583,4.1499,269.84319999999997,2.317060226,134.0
0.575,4.1499,270.01869999999997,2.386292987,135.0
0.573,4.1499,269.98519999999996,2.37787024,136.0
0.5487,4.15,270.06719999999996,2.276913958,137.0
0.5511,4.15,269.9803,2.287172117,138.0
0.5552,4.1499,270.02439999999996,2.303992484,139.0
0.5563,4.15,270.044,2.308687499,140.0
0.5568,4.1499,270.0304,2.310530103,141.0
0.5601,4.15,270.0087,2.324600782,142.0
0.5642,4.15,270.1004,2.341475282,143.0
0.5667,4.15,270.0881,2.351754743,144.0
0.555,4.1499,270.11449999999996,2.303032111,145.0
0.5556,4.1498,270.0071,2.305788764,146.0
0.5459,4.1499,270.0265,2.265622099,147.0
0.5423,4.15,270.10729999999995,2.250693262,148.0
0.539,4.15,270.0669,2.236675529,149.0
0.5432,4.1499,270.01309999999995,2.254421054,150.0
0.5541,4.1499,269.9917,2.299283273,151.0
0.5342,4.15,270.08259999999996,2.217006811,152.0
0.5329,4.1499,270.05359999999996,2.211387177,153.0
0.5511,4.15,269.9094,2.28719682,154.0
0.5372,4.15,270.09369999999996,2.229184505,155.0
0.5363,4.1501,270.07399999999996,2.225525307,156.0
0.5306,4.1499,270.02779999999996,2.202015979,157.0
0.5401,4.1501,269.9912,2.241383748,158.0
0.5482,4.15,270.0612,2.275042922,159.0
0.5394,4.15,269.9969,2.238542706,160.0
0.5367,4.1501,270.05179999999996,2.22735161,161.0
0.5349,4.15,270.04449999999997,2.219813063,162.0
0.5315,4.15,270.078,2.205818782,163.0
0.5299,4.1499,269.9849,2.199185743,164.0
0.5439,4.15,269.9795,2.257234559,165.0
0.5435,4.1499,270.0703,2.255349558,166.0
0.518,4.1499,270.04389999999995,2.149624711,167.0
0.5248,4.15,269.96119999999996,2.177721438,168.0
0.5464,4.1501,270.01439999999997,2.267580375,169.0
0.5173,4.15,269.9081,2.14689126,170.0
0.5234,4.1499,269.9992,2.172081708,171.0
0.5184,4.1501,270.0397,2.151595317,172.0
0.5261,4.15,269.981,2.183361056,173.0
0.5184,4.15,270.05649999999997,2.151538705,174.0
0.5166,4.1499,270.08639999999997,2.144025326,175.0
0.527,4.1499,270.00829999999996,2.187045327,176.0
0.532,4.1499,270.02329999999995,2.207604587,177.0
0.516,4.1499,270.03819999999996,2.141212446,178.0
0.5302,4.1499,269.96099999999996,2.200120978,179.0
0.5234,4.15,270.02689999999996,2.172105169,180.0
0.5209,4.15,270.19579999999996,2.161845442,181.0
0.5042,4.15,270.04229999999995,2.092624883,182.0
0.5254,4.1499,270.0549,2.180520937,183.0
0.5245,4.15,270.1128,2.176789186,184.0
0.5121,4.15,270.0462,2.125372585,185.0
0.5261,4.15,270.0762,2.183371342,186.0
0.5241,4.1499,270.0497,2.174901679,187.0
0.513,4.1499,270.00989999999996,2.129048609,188.0
0.5279,4.15,270.10819999999995,2.190858277,189.0
0.4995,4.1499,270.0238,2.072925599,190.0
0.5166,4.15,270.0972,2.144045281,191.0
0.497,4.1499,269.9742,2.062639122,192.0
0.4982,4.15,270.12039999999996,2.067373827,193.0
0.4964,4.15,270.0677,2.059864603,194.0
0.525,4.1499,270.1049,2.178616638,195.0
0.504,4.15,270.10229999999996,2.091676388,196.0
0.5074,4.15,270.0623,2.105717988,197.0
0.5074,4.15,270.1187,2.105711208,198.0
0.4878,4.1499,270.05789999999996,2.024301815,199.0
0.5047,4.1499,269.97279999999995,2.094440558,200.0
0.4862,4.15,270.11499999999995,2.01775994,201.0
0.5065,4.1499,270.109,2.101933903,202.0
0.4957,4.15,270.08959999999996,2.05708042,203.0
0.4973,4.1499,269.9996,2.063587419,204.0
0.484,4.15,270.10299999999995,2.008408397,205.0
0.4855,4.1499,270.03799999999995,2.014925538,206.0
0.5083,4.15,270.0381,2.109433868,207.0
0.495,4.15,270.0641,2.054258175,208.0
0.4986,4.1499,270.14669999999995,2.069203136,209.0
0.477,4.1501,270.0087,1.979467692,210.0
0.4806,4.1499,269.96549999999996,1.994333603,211.0
0.4851,4.1501,270.0422,2.013132399,212.0
0.4975,4.15,269.99129999999997,2.064544856,213.0
0.4925,4.15,269.9398,2.04394915,214.0
0.4855,4.15,269.96569999999997,2.014966054,215.0
0.4889,4.15,270.003,2.028994568,216.0
0.4824,4.1499,269.8759,2.00184482,217.0
0.488,4.1499,270.007,2.025193444,218.0
0.4955,4.1499,269.96909999999997,2.056097416,219.0
0.4815,4.1499,269.9491,1.998084479,220.0
0.481,4.1499,269.94329999999997,1.996219817,221.0
0.4747,4.1499,269.9094,1.970033756,222.0
0.4808,4.1499,269.9708,1.995287659,223.0
0.4828,4.15,269.91089999999997,2.003771532,224.0
